,Pin,Address,City,Township,Property Classification,Square Footage (Land),Neighborhood,Taxcode,Next Scheduled Reassessment,Description,Residence Type,Use,Exterior Construction,Full Baths,Half Baths,Basement1,Attic,Central Air,Number of Fireplaces,Garage,Age,Building Square Footage,Assessment Phase,Homeowner_2021,Senior_2021,Senior Freeze_2021,Homeowner_2020,Senior_2020,Senior Freeze_2020,Homeowner_2019,Senior_2019,Senior Freeze_2019,Homeowner_2018,Senior_2018,Senior Freeze_2018,Apartments,Risk,Property Value,Bill Returned,Prior Possibly Unpaid,Tax Due
171,20-23-115-016-0000,6549 S INGLESIDE AVE,CHICAGO,Hyde Park,211,3150,70,70018,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Masonry,2,0,Full and Unfinished,None,No,0,2 car detached,126,2428,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,2,low,167540,No,No,1637.56
172,20-21-120-009-0000,535 W 65TH PL 1,CHICAGO,Lake,211,5299,92,72082,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Masonry,4,0,Full and Unfinished,None,No,1,2 car detached,125,3951,Assessor Valuation,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,4,low,102830,Yes,Yes,1134.58
173,20-21-209-051-0000,6516 S YALE AVE,CHICAGO,Lake,207,5098,92,72001,2024,"Two or more story residence, up to 62 years, up to 2,000 sq.ft.",Two Story,Single Family,Frame,2,0,Full and Unfinished,None,Yes,0,2 car detached,11,1388,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,0,low,136940,No,No,2368.09
174,20-21-211-033-0000,6551 S WENTWORTH AVE,CHICAGO,Lake,203,3102,92,72001,2024,"One story residence, any age, 1,000 to 1,800 square feet",One Story,Single Family,Frame,1,0,Full and Rec Room,Partial and Unfinished,No,0,1 car detached,122,1150,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,0,low,84070,No,No,819.02
175,20-07-206-024-0000,4747 S PAULINA ST 1,CHICAGO,Lake,202,3125,80,72014,2024,"One story residence, any age, up to 999 square feet",One Story,Single Family,Frame,1,0,None,None,No,0,1 car detached,120,800,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,low,63930,No,No,1468.97
176,20-07-220-032-0000,4934 S HERMITAGE AVE,CHICAGO,Lake,211,3000,51,72014,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Frame,2,0,None,Full and Unfinished,No,0,None,125,1520,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,2,low,70270,No,No,175.48
177,20-08-112-043-0000,4844 S ADA ST,CHICAGO,Lake,204,3000,51,72018,2024,"One story residence, any age, 1,801 square feet and over",One Story,Single Family,Frame,2,0,Full and Rec Room,Full and Living Area,No,0,None,133,2016,Assessor Valuation,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,low,78960,No,No,404.51
178,20-08-122-004-0000,4941 S LOOMIS ST,CHICAGO,Lake,202,2736,91,72018,2024,"One story residence, any age, up to 999 square feet",One Story,Single Family,Frame,1,0,Partial and Rec Room,Full and Unfinished,No,0,None,120,680,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,low,42810,No,Yes,966.6
179,20-08-125-032-0000,5032 S LAFLIN ST,CHICAGO,Lake,201,3000,91,72094,2024,Residential garage,Garage,Garage,Other,0,0,None,None,No,0,Residential,-1,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,low,22440,No,Yes,450.88
180,20-08-127-034-0000,5038 S LOOMIS ST HSE,CHICAGO,Lake,211,3125,91,72096,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Frame,2,0,None,None,No,0,None,130,1600,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,2,low,57970,No,Yes,654.01
181,20-08-128-028-0000,5018 S ADA ST,CHICAGO,Lake,202,3125,91,72018,2024,"One story residence, any age, up to 999 square feet",One Story,Single Family,Frame,1,0,Full and Unfinished,Full and Unfinished,No,0,None,125,907,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,0,low,49530,No,Yes,429.25
182,20-08-131-026-0000,5020 S RACINE AVE,CHICAGO,Lake,211,3125,91,72018,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Frame,2,0,Full and Unfinished,Full and Unfinished,No,0,None,130,1932,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,0,low,65860,No,No,259.07
183,20-08-215-044-0000,5030 S ABERDEEN ST,CHICAGO,Lake,211,6300,91,72018,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Frame,2,0,Full and Unfinished,Full and Unfinished,No,0,2.5 car detached,128,2036,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,2,low,76570,No,Yes,1079.46
184,20-08-401-011-0000,5125 S MAY ST,CHICAGO,Lake,202,4185,91,72001,2024,"One story residence, any age, up to 999 square feet",One Story,Single Family,Frame,1,0,Full and Unfinished,Partial and Unfinished,No,0,1 car detached,130,864,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,0,low,53960,No,Yes,529.15
185,20-08-405-023-0000,844 W 51ST PL,CHICAGO,Lake,211,3125,91,72001,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Frame,2,0,Full and Unfinished,Full and Unfinished,No,0,2 car detached,130,1932,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,2,low,66290,No,Yes,1530.96
186,20-08-408-042-0000,5244 S MAY ST,CHICAGO,Lake,211,3125,91,72001,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Frame,2,0,Partial and Rec Room,Full and Unfinished,No,0,None,96,2011,Assessor Valuation,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,2,low,72250,No,Yes,428.35
187,20-08-408-045-0000,5252 S MAY ST,CHICAGO,Lake,203,3000,91,72001,2024,"One story residence, any age, 1,000 to 1,800 square feet",One Story,Single Family,Stucco,1,0,Full and Rec Room,Full and Unfinished,No,0,None,130,1008,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,0,low,56050,No,No,315.77
188,20-08-411-038-0000,5242 S MORGAN ST,CHICAGO,Lake,211,2756,91,72001,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Frame,2,0,None,None,No,0,None,112,2538,Assessor Valuation,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,low,77620,No,Yes,212.83
189,20-08-413-013-0000,5233 S SANGAMON ST,CHICAGO,Lake,201,3000,91,72001,2024,Residential garage,Garage,Garage,Other,0,0,None,None,No,0,Residential,-1,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,low,19840,Yes,Yes,398.59
